ADM0NAME,UNPOP2019
BANGLADESH,163000000
THAILAND,69630000
INDIA,1352642280
INDONESIA,270203917
BHUTAN,763092
SRI LANKA,21803000
NEPAL,28610000
MYANMAR,54050000
MALDIVES,530953
TIMOR-LESTE,123119
DPR KOREA,25549604
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ANDORRA,77146
ARMENIA,2957728
AUSTRIA,8955108
AZERBAIJAN,10047719
BELGIUM,11539326
BOSNIA AND HERZEGOVINA,3300998
BELARUS,9452409
BULGARIA,7000117
CROATIA,4130299
CYPRUS,1198574
CZECH REPUBLIC,10689213
DENMARK,5771877
GERMANY,83517046
ESTONIA,1325649
FINLAND,5532159
FRANCE,65129731
GEORGIA,3996762
GREECE,10473452
HUNGARY,9684680
ICELAND,339037
IRELAND,4882498
ISRAEL,8519373
ITALY,60550092
KAZAKHSTAN,18551428
KYRGYZSTAN,6415851
LIECHTENSTEIN,38020
LITHUANIA,2759631
LUXEMBOURG,615730
LATVIA,1906740
MALTA,440377
REPUBLIC OF MOLDOVA,4043258
NORTH MACEDONIA,2083458
MONTENEGRO,627988
MONACO,38967
NETHERLANDS,17097123
NORWAY,5378859
POLAND,37887771
PORTUGAL,10226178
ROMANIA,19364558
RUSSIAN FEDERATION,145872260
SAN MARINO,33864
SPAIN,46736782
SERBIA,6961862
SLOVAKIA,5457012
SLOVENIA,2078654
SWEDEN,10036391
SWITZERLAND,8591361
FAROE ISLANDS,48677
GUERNSEY,62792
GIBRALTAR,33706
GREENLAND,56660
ISLE OF MAN,84589
JERSEY,106800
TAJIKISTAN,9321023
TURKMENISTAN,5942094
SVALBARD AND JAN MAYEN ISLANDS,2926
TURKEY,83429607
UKRAINE,43993643
UNITED KINGDOM,67530161
UZBEKISTAN,32981715
HOLY SEE,815
KOSOVO,1810366
